target_id,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
lcl|NC_003911.12_cds_WP_230981749.1_3342,0.000676556,0.00072155,11.55257316,0.746519907,1,6.493489725,0.057424608,0.002362845,0.055061763,0.137218699,0.137218699
lcl|NC_003911.12_cds_WP_011047564.1_1872,0.000678773,0.00072374,11.54648983,19.303522,1,5.501545619,1.484886307,0.019314696,1.465571611,0.339401196,1.465571611
lcl|NC_003911.12_cds_WP_051420389.1_2987,0.000681263,0.000726219,11.53968204,0.385417897,1,6.83760788,0.029647531,0.001493676,0.028153854,0.102441544,0.102441544
lcl|NC_006569.1_cds_WP_011241866.1_4026,0.000687214,0.000732386,11.52351293,2.001056229,1,6.385408938,0.153927402,0.002039633,0.151887769,0.154135571,0.154135571
lcl|NC_003911.12_cds_WP_011048589.1_2935,0.000687801,0.000732834,11.52192608,1.067170221,1,7.651121509,0.082090017,0.00066114,0.081428877,0.2183272,0.2183272
lcl|NC_003911.12_cds_WP_011047277.1_1566,0.00068862,0.00073353,11.51971455,13.99498789,1,6.091583604,1.07653753,0.009921006,1.066616524,0.216263771,1.066616524
lcl|NC_003911.12_cds_WP_011046922.1_1191,0.000689808,0.000734619,11.5165081,0.429178279,1,7.034253894,0.033013714,0.001273082,0.031740632,0.103348538,0.103348538
lcl|NC_003911.12_cds_WP_011047557.1_1865,0.000696263,0.000741314,11.49919523,13.19258204,1,5.787843743,1.014814003,0.012367239,1.002446764,0.281428945,1.002446764
lcl|NC_006569.1_cds_WP_011242072.1_4254,0.000697851,0.000742825,11.49496133,1.375276202,1,6.791594052,0.105790477,0.001510962,0.104279516,0.104362965,0.104362965
lcl|NC_003911.12_cds_WP_011046457.1_706,0.000699712,0.000744626,11.49001082,1.062691908,1,7.148481389,0.081745531,0.001017129,0.080728403,0.11284476,0.11284476
lcl|NC_003911.12_cds_WP_011048762.1_3114,0.000703567,0.000748548,11.47979878,0.383882468,1,6.420398107,0.029529421,0.002437874,0.027091547,0.148000659,0.148000659
lcl|NC_003911.12_cds_WP_011047856.1_2168,0.000710577,0.000755824,11.46137471,0.666898089,1,6.971382214,0.051299853,0.00150105,0.049798803,0.101010801,0.101010801
lcl|NC_003911.12_cds_WP_011048412.1_2753,0.000715592,0.000760974,11.44830735,19.30035648,1,5.535940387,1.484642806,0.022507908,1.462134898,0.332527254,1.462134898
lcl|NC_003911.12_cds_WP_011049383.1_3754,0.000715926,0.000761146,11.44743973,4.031864476,1,7.694036854,0.310143421,0.000571355,0.309572067,0.233553769,0.309572067
lcl|NC_003911.12_cds_WP_011047355.1_1645,0.000718581,0.000763785,11.44056044,14.03804621,1,5.389186593,1.079849708,0.023307708,1.056542001,0.361540018,1.056542001
lcl|NC_003911.12_cds_WP_011046591.1_840,0.000722206,0.000767453,11.43121052,0.322325463,1,7.202065552,0.024794266,0.001047182,0.023747085,0.119298231,0.119298231
lcl|NC_003911.12_cds_WP_011047323.1_1613,0.000722703,0.000767796,11.42993226,3.448619579,1,7.551309733,0.265278429,0.000976316,0.264302114,0.186923761,0.264302114
lcl|NC_003911.12_cds_WP_011048723.1_3074,0.000727257,0.000772448,11.41826192,0.312716712,1,7.157408537,0.024055132,0.001179919,0.022875213,0.113839192,0.113839192
lcl|NC_003911.12_cds_WP_011047428.1_1722,0.000735657,0.000781182,11.39692687,3.273919082,1,6.608354215,0.251839929,0.001855836,0.249984093,0.119228155,0.249984093
lcl|NC_003911.12_cds_WP_011048600.1_2946,0.000738146,0.000783636,11.3906524,0.3309202,1,7.052694349,0.0254554,0.001186529,0.024268871,0.104447332,0.104447332
lcl|NC_003911.12_cds_WP_011047973.1_2286,0.000742366,0.000787926,11.38006357,12.39699275,1,5.229758811,0.953614827,0.020042399,0.933572428,0.391829833,0.933572428
lcl|NC_003911.12_cds_WP_011046026.1_260,0.000747726,0.000793424,11.36670112,1.402440078,1,6.993680462,0.107880006,0.001610589,0.106269417,0.101581713,0.106269417
lcl|NC_003911.12_cds_WP_011046826.1_1093,0.000748741,0.000794311,11.36417983,14.2066337,1,5.52071875,1.092817977,0.017170826,1.075647151,0.335574115,1.075647151
lcl|NC_003911.12_cds_WP_011047858.1_2170,0.000759871,0.000805924,11.33677705,0.436608449,1,7.378806301,0.033585265,0.000876695,0.032708571,0.146971722,0.146971722
lcl|NC_003911.12_cds_WP_011047875.1_2187,0.000760237,0.000806118,11.33588186,1.30339011,1,6.558369956,0.100260778,0.001992187,0.09826859,0.126797625,0.126797625
lcl|NC_003911.12_cds_WP_011046368.1_613,0.000764568,0.000810515,11.32533364,0.502383977,1,6.494288457,0.038644921,0.00222123,0.036423692,0.137094226,0.137094226
lcl|NC_003911.12_cds_WP_011046813.1_1080,0.000772279,0.000818494,11.30669917,0.51601097,1,6.861950769,0.039693152,0.001572919,0.038120233,0.101668039,0.101668039
lcl|NC_003911.12_cds_WP_011046308.1_551,0.000776951,0.000823247,11.29550183,0.900613939,1,6.690363048,0.069277995,0.002284318,0.066993677,0.110097373,0.110097373
lcl|NC_003911.12_cds_SPO_RS13350_2674,0.000784821,0.000831386,11.27679208,3.076337576,1,6.244995204,0.236641352,0.003739455,0.232901897,0.184615885,0.232901897
lcl|NC_006569.1_cds_WP_011242017.1_4198,0.000793907,0.000840809,11.2554234,0.95174386,1,6.603342924,0.073211066,0.014311877,0.05889919,0.119938724,0.119938724
lcl|NC_003911.12_cds_WP_044028103.1_1541,0.000812858,0.000860673,11.21164177,0.665002209,1,6.600041259,0.051154016,0.002298769,0.048855247,0.120414027,0.120414027
lcl|NC_003911.12_cds_WP_011049442.1_3815,0.000815263,0.000863013,11.2061581,0.288169643,1,7.00075232,0.022166896,0.001460335,0.020706561,0.101822315,0.101822315
lcl|NC_003911.12_cds_WP_011047836.1_2148,0.000828088,0.000876378,11.17719615,0.327754416,1,6.661295671,0.025211878,0.002170887,0.023040991,0.112710096,0.112710096
lcl|NC_003911.12_cds_WP_011047733.1_2044,0.000829351,0.000877504,11.17436933,17.78938301,1,4.938852241,1.368414078,0.040029734,1.328384344,0.442147682,1.328384344
lcl|NC_003911.12_cds_WP_011045887.1_115,0.000837815,0.000886247,11.15553133,0.954451421,1,5.511031625,0.07341934,0.005927908,0.067491432,0.337509275,0.337509275
lcl|NC_003911.12_cds_WP_144083960.1_1041,0.000843022,0.000891541,11.14403721,25.0959178,1,4.057383832,1.930455216,0.153499303,1.776955912,0.531731173,1.776955912
lcl|NC_003911.12_cds_WP_044028205.1_1868,0.000847351,0.000895905,11.13453571,16.83662135,1,5.552353216,1.295124719,0.01932791,1.275796809,0.329234092,1.275796809
lcl|NC_003911.12_cds_WP_011048503.1_2850,0.000868971,0.000918543,11.08780986,14.37634167,1,6.364664373,1.105872436,0.006719229,1.099153207,0.158154306,1.099153207
lcl|NC_003911.12_cds_WP_011046311.1_554,0.00087153,0.000921027,11.08235685,0.337633561,1,6.989500279,0.025971812,0.001214975,0.024756838,0.101453294,0.101453294
lcl|NC_003911.12_cds_WP_011046585.1_834,0.000874527,0.000923973,11.07599069,3.504062606,1,6.49962539,0.269543277,0.001890113,0.267653165,0.136257222,0.267653165
lcl|NC_003911.12_cds_WP_011046196.1_435,0.000875348,0.000924619,11.07425088,2.529930169,1,6.153977993,0.194610013,0.00402959,0.190580423,0.204030965,0.204030965
lcl|NC_003911.12_cds_WP_011047263.1_1551,0.000878865,0.000928112,11.06681438,10.29515404,1,6.183890617,0.791934926,0.006261113,0.785673813,0.198109999,0.785673813
lcl|NC_006569.1_cds_WP_044029484.1_3945,0.000884623,0.000933969,11.05470693,0.284115564,1,6.832299915,0.021855043,0.001643983,0.02021106,0.102634313,0.102634313
lcl|NC_003911.12_cds_WP_011048405.1_2746,0.000909524,0.000960029,11.00324637,19.99530843,1,5.768825161,1.538100648,0.015097932,1.523002717,0.285315933,1.523002717
lcl|NC_003911.12_cds_WP_011046100.1_336,0.000915269,0.000965862,10.9915771,0.755872019,1,6.882717118,0.058144001,0.001386868,0.056757134,0.101164762,0.101164762
lcl|NC_003911.12_cds_WP_011045778.1_6,0.000917459,0.000967941,10.98714747,0.365689813,1,7.156966768,0.028129986,0.001376186,0.0267538,0.113789194,0.113789194
lcl|NC_006569.1_cds_WP_044029518.1_4097,0.000933598,0.000984732,10.95483365,1.470829146,1,6.490652201,0.113140704,0.001858889,0.111281815,0.137659079,0.137659079
lcl|NC_006569.1_cds_WP_230981818.1_4233,0.000936807,0.000987881,10.94847563,6.80100884,1,7.039125011,0.523154526,0.001056287,0.522098239,0.103621382,0.522098239
lcl|NC_003911.12_cds_WP_044028010.1_1213,0.000949327,0.001000845,10.92387672,2.971683763,1,5.304329568,0.228591059,0.011568202,0.217022857,0.377853196,0.377853196
lcl|NC_003911.12_cds_WP_011045791.1_19,0.000950804,0.001002162,10.92099657,0.334133987,1,6.684991351,0.025702614,0.001883155,0.023819459,0.110519643,0.110519643
lcl|NC_006569.1_cds_WP_011241860.1_4019,0.000963784,0.001015601,10.89587891,0.28820356,1,6.882346926,0.022169505,0.001612697,0.020556807,0.101172377,0.101172377
lcl|NC_003911.12_cds_WP_193385776.1_1749,0.000966285,0.001017992,10.89107982,27.33495444,1,3.891179477,2.102688803,0.162086163,1.94060264,0.535272692,1.94060264
lcl|NC_003911.12_cds_WP_011045911.1_143,0.000983459,0.001035838,10.85845115,0.717439535,1,6.665401185,0.055187657,0.001650346,0.053537311,0.112294133,0.112294133
lcl|NC_003911.12_cds_WP_044028041.1_1293,0.001003268,0.001056411,10.82152483,1.347303254,1,7.420546196,0.103638712,0.000765662,0.10287305,0.154941291,0.154941291
lcl|NC_003911.12_cds_WP_158454163.1_1239,0.00100347,0.001056411,10.82115192,2.735798313,1,3.586222902,0.210446024,0.05605644,0.154389584,0.529874683,0.529874683
lcl|NC_003911.12_cds_WP_044029382.1_3525,0.001031453,0.001085611,10.77023616,5.898007086,1,6.486896199,0.453692853,0.003946109,0.449746744,0.138237358,0.449746744
lcl|NC_003911.12_cds_SPO_RS13845_2772,0.001035879,0.001090008,10.76231241,22.430215,1,7.221091193,1.725401154,0.004587992,1.720813162,0.121853704,1.720813162
lcl|NC_003911.12_cds_WP_011048815.1_3172,0.001043333,0.00109759,10.74904306,7.804017959,1,5.502595741,0.600309074,0.011729378,0.588579696,0.339191909,0.588579696
lcl|NC_003911.12_cds_WP_051420403.1_3693,0.00106523,0.001120359,10.71060775,19.37482845,1,5.842005789,1.490371419,0.01884397,1.47152745,0.270003932,1.47152745
lcl|NC_003911.12_cds_WP_044028489.1_2656,0.00106807,0.001123078,10.70568157,0.959406961,1,6.458514453,0.073800535,0.001916871,0.071883665,0.142384382,0.142384382
lcl|NC_003911.12_cds_WP_011049378.1_3749,0.001068889,0.001123671,10.70426347,0.898170446,1,7.706922669,0.069090034,0.000613043,0.068476992,0.238311173,0.238311173
