"","geneNames","feature","id","fc","pval","qval","mean"
"311","SPO2424.t01","gene","MSTRG.1892",0.492312133767003,0.00634320574295577,0.0579276226939349,93.8198400714286
"312","SPO2425.t01","gene","MSTRG.1893",0.341212273474974,0.00264176813848849,0.0440614065163796,89.7925784285714
"313","SPO2426.t01","gene","MSTRG.1894",0.393885361841248,0.0162693693503466,0.0891373634106736,94.3408580714286
"314","SPO2427.t01","gene","MSTRG.1895",0.472422123759152,0.00298614852150725,0.045289705790226,93.8692280636516
"315","SPO0265.t01","gene","MSTRG.190",1.36008128076815,0.0307831747492332,0.120918303382648,144.208822582522
"316","SPO2436.t01","gene","MSTRG.1901",0.383736004447805,0.00081569637978407,0.0317625993103455,86.0369115714286
"317","SPO2437.t01","gene","MSTRG.1902",0.397017397571353,0.0205479070410435,0.100880582979673,75.3531547142857
"318","SPO2438.t01","gene","MSTRG.1903",0.275501627941414,0.00191581458982604,0.0399429268256183,87.6154993571429
"319","SPO2439.t01","gene","MSTRG.1904",0.562462956064628,0.00461050959677212,0.0507768747950152,87.2900487142857
"320","SPO2440.t01","gene","MSTRG.1905",0.305015780754706,0.00779165029732432,0.0634627045101477,75.6804706428571
"321","SPO2443.t01","gene","MSTRG.1908",1.98324574090639,0.00206352389923237,0.0406092142078592,90.0579549285714
"322","SPO0268.t01","gene","MSTRG.191",1.47963342758695,0.00434091627601385,0.0494506441752093,126.608655071429
"323","SPO2447.t01","gene","MSTRG.1911",1.77468396693034,0.0183734111679232,0.0954751647725132,87.7475449951839
"324","SPO2453.t01","gene","MSTRG.1916",1.50031515568551,0.00382258125021862,0.0483620113233333,112.749192714286
"325","SPO2454.t01","gene","MSTRG.1917",1.45859053211784,0.048050227379977,0.148663073673361,124.641367052283
"326","SPO2458.t01","gene","MSTRG.1919",1.66154244605953,0.00906056409135902,0.0685237283693187,113.067940571429
"327","SPO2460.t01","gene","MSTRG.1921",1.91546145788668,0.0420944068150439,0.138959192403174,91.9394932857143
"328","SPO2461.t01","gene","MSTRG.1922",1.75288012641143,0.0275868485856694,0.115613657473444,147.130026142857
"329","SPO2462.t01","gene","MSTRG.1923",2.24479413752963,0.00200697092418067,0.0406092142078592,72.7132527857143
